Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
24.11.2003 16:00:00,  980.85,   13.20,   64.46,    0.00,    0.00
24.11.2003 16:10:00,  980.85,   13.09,   65.13,    0.00,    0.00
24.11.2003 16:20:00,  980.85,   12.92,   65.82,    0.00,    0.00
24.11.2003 16:30:00,  980.85,   12.66,   67.02,    0.00,    0.00
24.11.2003 16:40:00,  980.86,   12.54,   67.52,    0.00,    0.00
24.11.2003 16:50:00,  980.86,   12.44,   68.32,    0.00,    0.00
24.11.2003 17:00:00,  980.85,   12.01,   70.50,    0.00,    0.00
24.11.2003 17:10:00,  980.86,   11.65,   72.60,    0.00,    0.00
24.11.2003 17:20:00,  980.95,   11.70,   72.20,    0.00,    0.00
24.11.2003 17:30:00,  980.94,   11.19,   73.60,    0.00,    0.00
24.11.2003 17:40:00,  981.03,   10.41,   76.60,    0.00,    0.00
24.11.2003 17:50:00,  981.02,   10.37,   78.00,    0.00,    0.00
24.11.2003 18:00:00,  981.09,   10.08,   78.60,    0.00,    0.00
24.11.2003 18:10:00,  981.09,    9.69,   80.80,    0.00,    0.00
24.11.2003 18:20:00,  981.10,    9.61,   80.80,    0.00,    0.00
24.11.2003 18:30:00,  981.11,    9.80,   80.30,    0.00,    0.00
24.11.2003 18:40:00,  981.10,    9.83,   79.70,    0.00,    0.00
24.11.2003 18:50:00,  981.13,   10.03,   79.10,    0.00,    0.00
24.11.2003 19:00:00,  981.22,   10.04,   79.40,    0.00,    0.00
24.11.2003 19:10:00,  981.22,    9.84,   79.90,    0.00,    0.00
24.11.2003 19:20:00,  981.34,    9.45,   81.50,    0.00,    0.00
24.11.2003 19:30:00,  981.27,    9.12,   83.00,    0.00,    0.00
24.11.2003 19:40:00,  981.32,    9.04,   83.40,    0.00,    0.00
24.11.2003 19:50:00,  981.43,    8.95,   83.80,    0.00,    0.00
24.11.2003 20:00:00,  981.47,    8.97,   83.90,    0.00,    0.00
24.11.2003 20:10:00,  981.55,    9.04,   83.50,    0.00,    0.00
24.11.2003 20:20:00,  981.59,    9.28,   82.00,    0.00,    0.00
24.11.2003 20:30:00,  981.59,    9.42,   81.20,    0.00,    0.00
24.11.2003 20:40:00,  981.64,    9.54,   80.40,    0.00,    0.00
24.11.2003 20:50:00,  981.60,    9.71,   79.30,    0.00,    0.00
24.11.2003 21:00:00,  981.60,    9.70,   79.20,    0.00,    0.00
24.11.2003 21:10:00,  981.59,    9.51,   80.00,    0.00,    0.00
24.11.2003 21:20:00,  981.56,    9.35,   80.60,    0.00,    0.00
24.11.2003 21:30:00,  981.59,    9.26,   81.80,    0.00,    0.00
24.11.2003 21:40:00,  981.59,    9.40,   80.80,    0.00,    0.00
